Ticks,Fishes,Sharks
1,90,20
2,163,20
3,233,13
4,364,11
5,513,18
6,632,19
7,730,19
8,804,19
9,846,23
10,864,25
11,864,26
12,867,26
13,864,27
14,863,29
15,858,32
16,857,32
17,857,32
18,854,33
19,849,33
20,853,34
21,851,35
22,851,36
23,847,38
24,844,39
25,837,44
26,834,45
27,830,49
28,824,53
29,811,60
30,801,66
31,795,67
32,790,72
33,778,73
34,773,76
35,763,79
36,756,79
37,746,77
38,739,82
39,730,88
40,719,98
41,710,99
42,698,96
43,692,105
44,691,103
45,677,110
46,670,104
47,653,104
48,638,112
49,620,124
50,600,128
51,586,124
52,578,122
53,573,126
54,546,142
55,529,145
56,507,148
57,479,148
58,454,161
59,420,174
60,397,177
61,370,171
62,350,173
63,338,172
64,330,169
65,324,165
66,321,163
67,308,159
68,317,142
69,318,152
70,319,151
71,327,147
72,333,143
73,345,138
74,347,136
75,349,145
76,345,153
77,348,165
78,352,174
79,346,173
80,341,171
81,346,170
82,347,163
83,349,166
84,347,166
85,352,170
86,341,165
87,344,160
88,349,167
89,343,163
90,333,163
91,334,162
92,330,160
93,314,170
94,307,167
95,298,166
96,296,166
97,283,159
98,279,144
99,284,141
100,303,136
101,321,124
102,328,106
103,355,119
104,365,126
105,394,128
106,411,126
107,428,127
108,445,144
109,440,152
110,442,167
111,467,169
112,470,171
113,473,176
114,475,186
115,472,189
116,453,180
117,431,178
118,405,176
119,386,179
120,346,171
121,325,167
122,312,155
123,302,142
124,299,136
125,297,119
126,307,97
127,325,90
128,341,83
129,370,84
130,408,87
131,454,89
132,495,88
133,530,94
134,563,93
135,581,101
136,597,105
137,601,116
138,597,133
139,586,142
140,570,147
141,565,148
142,551,153
143,543,151
144,527,151
145,510,149
146,490,156
147,473,160
148,458,166
149,448,163
150,434,167
151,428,148
152,412,150
153,396,143
154,389,137
155,380,145
156,370,151
157,364,150
158,374,150
159,380,147
160,385,149
161,395,153
162,390,152
163,392,153
164,386,159
165,392,162
166,393,158
167,385,157
168,384,166
169,387,168
170,384,169
171,378,170
172,372,171
173,363,159
174,363,162
175,361,157
176,354,144
177,342,135
178,343,136
179,350,148
180,358,152
181,367,134
182,384,129
183,406,130
184,429,135
185,443,136
186,458,131
187,467,132
188,459,136
189,433,149
190,408,153
191,404,148
192,389,156
193,376,157
194,381,153
195,378,152
196,382,143
197,388,146
198,391,140
199,408,144
200,421,143
201,427,154
202,439,153
203,438,152
204,439,163
205,416,170
206,399,173
207,380,183
208,362,182
209,357,191
210,333,200
211,336,193
212,334,186
213,315,167
214,312,162
215,291,145
216,267,138
217,268,140
218,266,137
219,266,118
220,275,107
221,294,98
222,318,87
223,347,87
224,370,81
225,405,73
226,431,65
227,455,69
228,473,69
229,490,61
230,520,62
231,531,67
232,549,78
233,559,84
234,581,90
235,606,101
236,628,105
237,641,113
238,639,120
239,641,125
240,635,128
241,620,137
242,606,151
243,575,152
244,565,166
245,535,174
246,502,194
247,466,199
248,448,202
249,414,195
250,385,190
251,356,203
252,323,212
253,298,198
254,276,192
255,268,173
256,266,162
257,251,144
258,245,125
259,231,121
260,224,121
261,227,121
262,233,119
263,238,115
264,243,117
265,255,117
266,272,121
267,285,113
268,336,117
269,389,120
270,459,118
271,515,130
272,532,129
273,543,140
274,550,153
275,551,160
276,537,166
277,512,175
278,493,181
279,479,173
280,468,175
281,447,171
282,434,161
283,410,154
284,402,156
285,386,167
286,355,169
287,323,172
288,295,174
289,281,172
290,276,159
291,255,157
292,243,153
293,219,140
294,216,135
295,201,133
296,203,114
297,220,108
298,245,84
299,274,75
300,319,69
301,366,64
302,442,66
303,521,72
304,598,83
305,643,94
306,680,94
307,695,103
308,691,112
309,697,119
310,686,127
311,665,133
312,654,133
313,639,139
314,626,147
315,598,157
316,574,169
317,558,167
318,539,158
319,518,164
320,499,162
321,482,157
322,473,158
323,469,177
324,452,167
325,463,153
326,452,152
327,447,162
328,425,163
329,418,174
330,401,188
331,368,193
332,346,193
333,320,201
334,287,196
335,272,191
336,242,196
337,216,182
338,202,154
339,198,149
340,191,123
341,189,114
342,205,106
343,221,92
344,242,86
345,271,85
346,307,82
347,350,91
348,380,90
349,406,89
350,423,96
351,431,100
352,434,106
353,429,107
354,438,118
355,429,119
356,426,119
357,429,118
358,424,118
359,423,124
360,422,125
361,426,130
362,429,134
363,435,148
364,436,151
365,430,166
366,434,169
367,448,174
368,443,180
369,426,186
370,402,198
371,395,196
372,376,195
373,367,182
374,356,172
375,340,168
376,336,164
377,324,169
378,315,167
379,315,162
380,325,159
381,319,151
382,317,149
383,307,154
384,309,165
385,293,159
386,293,161
387,293,156
388,296,155
389,293,161
390,289,154
391,285,151
392,279,153
393,270,150
394,272,155
395,266,146
396,272,132
397,267,125
398,271,125
399,264,128
400,278,132
401,279,129
402,288,130
403,280,120
404,282,121
405,272,134
406,265,144
407,249,140
408,241,134
409,233,135
410,243,136
411,253,136
412,262,124
413,274,112
414,270,114
415,294,120
416,316,111
417,327,110
418,350,108
419,375,103
420,408,98
421,446,100
422,479,97
423,490,101
424,507,102
425,514,108
426,506,116
427,497,121
428,494,127
429,487,123
430,483,113
431,469,111
432,463,95
433,460,97
434,465,96
435,465,91
436,460,94
437,479,90
438,493,92
439,514,85
440,530,89
441,546,88
442,576,93
443,595,102
444,606,109
445,610,123
446,597,131
447,588,141
448,583,155
449,576,155
450,554,155
451,534,147
452,514,156
453,497,162
454,485,164
455,474,170
456,449,173
457,422,180
458,409,182
459,376,181
460,360,185
461,349,180
462,329,161
463,318,161
464,301,149
465,290,138
466,273,141
467,252,142
468,241,131
469,238,124
470,242,118
471,250,99
472,267,87
473,285,93
474,299,89
475,331,93
476,363,101
477,409,110
478,450,120
479,479,110
480,509,110
481,519,118
482,550,123
483,563,127
484,584,126
485,601,130
486,588,131
487,577,136
488,544,147
489,524,163
490,483,174
491,471,174
492,454,174
493,417,172
494,379,165
495,368,174
496,352,173
497,334,170
498,317,169
499,294,158
500,295,157
